Timestamp dT0 sum(dT0) L0 L1N L1S L2 30N(Tg) 15N(Tg) 15S(Tg) 30S(Tg) 
2035 0.2147 0.2147 0.0201 0 0 0 0.6 0. 0. 0.6 
2036 0.137084444893 0.351784444893 0.0297383389473 0 0 0 0.94816753 0. 0. 0.94816753 
2037 0.415812584381 0.767597029274 0.0455636719009 0 0 0 1.4527373 0. 0. 1.4527373 
2038 0.379343725564 1.14694075484 0.0623853172148 0 0 0 1.98907317 0. 0. 1.98907317 
2039 0.304668149501 1.45160890434 0.0799054602884 0 0 0 2.54767971 0. 0. 2.54767971 
2040 0.220339272967 1.67194817731 0.0973960026051 0 0 0 3.10534248 0. 0. 3.10534248 
2041 0.0643218272864 1.7362700046 0.106253586776 0 0 0 3.38775481 0. 0. 3.38775481 
2042 0.300767174512 2.03703717911 0.124488890103 0 0 0 3.96916329 0. 0. 3.96916329 
2043 0.270763935725 2.30780111484 0.138303767331 0 0 0 4.40963234 0. 0. 4.40963234 
2044 0.0803365146839 2.38813762952 0.146887057319 0 0 0 4.68329917 0. 0. 4.68329917 
2045 0.220224045954 2.60836167547 0.162481588784 0 0 0 5.18051014 0. 0. 5.18051014 
2046 0.21538754122 2.82374921669 0.169232249794 0 0 0 5.39574602 0. 0. 5.39574602 
2047 0.0419961139989 2.86574533069 0.170884110791 0 0 0 5.44841342 0. 0. 5.44841342 
2048 -0.0378325254725 2.82791280522 0.172740763198 0 0 0 5.50761032 0. 0. 5.50761032 
2049 0.239299823639 3.06721262886 0.184052451818 0 0 0 5.86826852 0. 0. 5.86826852 
2050 0.0813681242842 3.14858075314 0.186521914954 0 0 0 5.94700408 0. 0. 5.94700408 
2051 -0.128460417645 3.0201203355 0.185088761802 0 0 0 5.90130989 0. 0. 5.90130989 
2052 0.121671056898 3.1417913924 0.19424386177 0 0 0 6.19320812 0. 0. 6.19320812 
2053 0.0317074793479 3.17349887175 0.196986309728 0 0 0 6.28064744 0. 0. 6.28064744 
2054 0.0532826253382 3.22678149709 0.201713633385 0 0 0 6.43137189 0. 0. 6.43137189 
2055 0.136333434554 3.36311493164 0.208596007331 0 0 0 6.65080727 0. 0. 6.65080727 
2056 0.169714519943 3.53282945158 0.21523549958 0 0 0 6.86249868 0. 0. 6.86249868 
2057 0.182401119656 3.71523057124 0.221755585351 0 0 0 7.07038297 0. 0. 7.07038297 
2058 0.215042897098 3.93027346834 0.229059950164 0 0 0 7.30327296 0. 0. 7.30327296 
2059 0.101650457924 4.03192392626 0.232495975288 0 0 0 7.41282607 0. 0. 7.41282607 
2060 -0.0694677213135 3.96245620495 0.232519683305 0 0 0 7.41358197 0. 0. 7.41358197 
2061 0.0872543156245 4.04971052057 0.239768752917 0 0 0 7.64470895 0. 0. 7.64470895 
2062 0.266653153039 4.31636367361 0.250030994819 0 0 0 7.97190693 0. 0. 7.97190693 
2063 -0.0449999215251 4.27136375208 0.248324013478 0 0 0 7.9174821 0. 0. 7.9174821 
2064 -0.168210509364 4.10315324272 0.247589712228 0 0 0 7.89406987 0. 0. 7.89406987 
2065 -0.149602842089 3.95355040063 0.249247539733 0 0 0 7.94692751 0. 0. 7.94692751 
2066 0.0421487272124 3.99569912784 0.256346364154 0 0 0 8.17326412 0. 0. 8.17326412 
2067 0.127076268638 4.12277539648 0.263118687633 0 0 0 8.38919068 0. 0. 8.38919068 
2068 0.155461809912 4.27823720639 0.269471167025 0 0 0 8.59173106 0. 0. 8.59173106 
2069 0.0473145446909 4.32555175108 0.272175194681 0 0 0 8.6779454 0. 0. 8.6779454 
2070 0.203038812404 4.52859056348 0.281135861942 0 0 0  8.9636444  0.  0.  8.9636444 
