Timestamp dT0 sum(dT0) L0 L1N L1S L2 60N(Tg) 15N(Tg) 15S(Tg) 60S(Tg) 
2035 0.2147 0.2147 0.0201 0 0 0 0.6 0. 0. 0.6 
2036 0.232270838336 0.446970838336 0.0197172040573 0 0 0 1.15994869 0. 0. 1.15994869 
2037 0.356527546987 0.803498385323 0.0295530947779 0 0 0 1.73858694 0. 0. 1.73858694 
2038 0.324176669075 1.1276750544 0.0401547852539 0 0 0 2.36227663 0. 0. 2.36227663 
2039 0.372700649043 1.50037570344 0.052893160142 0 0 0 3.11166591 0. 0. 3.11166591 
2040 0.270691590766 1.77106729421 0.0648161269867 0 0 0 3.81308532 0. 0. 3.81308532 
2041 0.264318954758 2.03538624897 0.0739708406373 0 0 0 4.35165043 0. 0. 4.35165043 
2042 0.360707505952 2.39609375492 0.0850575466898 0 0 0 5.00387323 0. 0. 5.00387323 
2043 0.409224925745 2.80531868067 0.0961505225184 0 0 0 5.65646489 0. 0. 5.65646489 
2044 0.24709954195 3.05241822262 0.103627197811 0 0 0 6.09631222 0. 0. 6.09631222 
2045 0.223821316182 3.2762395388 0.112225030986 0 0 0 6.60211646 0. 0. 6.60211646 
2046 0.273269032381 3.54950857118 0.117705169853 0 0 0 6.92450902 0. 0. 6.92450902 
2047 0.513988794146 4.06349736533 0.127376149723 0 0 0 7.49344569 0. 0. 7.49344569 
2048 0.447050698381 4.51054806371 0.133413097526 0 0 0 7.84859491 0. 0. 7.84859491 
2049 0.17516510476 4.68571316847 0.134824189844 0 0 0 7.93160844 0. 0. 7.93160844 
2050 0.106424927018 4.79213809549 0.137539174905 0 0 0 8.09132902 0. 0. 8.09132902 
2051 0.225265108205 5.01740320369 0.143226808388 0 0 0 8.42592834 0. 0. 8.42592834 
2052 0.344124139665 5.36152734336 0.150067700549 0 0 0 8.82837302 0. 0. 8.82837302 
2053 0.1501038798 5.51163122316 0.151991056341 0 0 0 8.94152263 0. 0. 8.94152263 
2054 0.14906051765 5.66069174081 0.155776398674 0 0 0 9.16421155 0. 0. 9.16421155 
2055 0.31298082713 5.97367256794 0.162752311869 0 0 0 9.57459942 0. 0. 9.57459942 
2056 0.107995600311 6.08166816825 0.164160793227 0 0 0 9.65745935 0. 0. 9.65745935 
2057 0.149494749604 6.23116291785 0.16836306175 0 0 0 9.90467573 0. 0. 9.90467573 
2058 0.179586770184 6.41074968803 0.172746596236 0 0 0 10.16255586 0. 0. 10.16255586 
2059 -0.146590553355 6.26415913468 0.170509575821 0 0 0 10.03095358 0. 0. 10.03095358 
2060 0.0357331490456 6.29989228373 0.174974387589 0 0 0 10.29361519 0. 0. 10.29361519 
2061 0.19956242933 6.49945471306 0.180849122584 0 0 0 10.63922155 0. 0. 10.63922155 
2062 0.155620949101 6.65507566216 0.184281945576 0 0 0 10.84117202 0. 0. 10.84117202 
2063 0.190129680182 6.84520534234 0.188810606404 0 0 0 11.10758982 0. 0. 11.10758982 
2064 0.25890940771 7.10411475005 0.194338983413 0 0 0 11.43282019 0. 0. 11.43282019 
2065 0.220629518578 7.32474426863 0.198457392107 0 0 0 11.67510316 0. 0. 11.67510316 
2066 0.110768990374 7.435513259 0.200815602875 0 0 0 11.81383498 0. 0. 11.81383498 
2067 0.0446724466458 7.48018570565 0.202957160911 0 0 0 11.93982127 0. 0. 11.93982127 
2068 0.035155570115 7.51534127577 0.20555528472 0 0 0 12.09266699 0. 0. 12.09266699 
2069 0.0258805835577 7.54122185933 0.208065776608 0 0 0 12.24035739 0. 0. 12.24035739 
2070 0.113261769983 7.65448362931 0.212361652614 0 0 0  12.49308064  0.  0.  12.49308064 
