Timestamp dT0 sum(dT0) L0 L1N L1S L2 30N(Tg) 15N(Tg) 15S(Tg) 30S(Tg) 
2035 0.2147 0.2147 0.0201 0 0 0 0.6 0. 0. 0.6 
2036 0.492685084166 0.707385084166 0.0318592992046 0 0 0 1.01579154 0. 0. 1.01579154 
2037 0.391649526848 1.09903461101 0.0473963937298 0 0 0 1.51117121 0. 0. 1.51117121 
2038 0.427211734594 1.5262463456 0.066207097021 0 0 0 2.11092555 0. 0. 2.11092555 
2039 0.182644780972 1.70889112657 0.0815189481255 0 0 0 2.59912363 0. 0. 2.59912363 
2040 0.159039369427 1.867930496 0.0994042670621 0 0 0 3.16937333 0. 0. 3.16937333 
2041 0.25303811819 2.12096861419 0.11480384007 0 0 0 3.6603683 0. 0. 3.6603683 
2042 0.421973763363 2.54294237755 0.133839823642 0 0 0 4.26730541 0. 0. 4.26730541 
2043 0.435954975399 2.97889735295 0.150773739851 0 0 0 4.80722089 0. 0. 4.80722089 
2044 0.18372711761 3.16262447056 0.159977185427 0 0 0 5.10066056 0. 0. 5.10066056 
2045 0.166455742471 3.32908021303 0.17242655783 0 0 0 5.4975923 0. 0. 5.4975923 
2046 0.284442033668 3.6135222467 0.182038322407 0 0 0 5.80405068 0. 0. 5.80405068 
2047 0.138730177204 3.7522524239 0.185545328923 0 0 0 5.91586693 0. 0. 5.91586693 
2048 -0.0724301639903 3.67982225991 0.184927790501 0 0 0 5.89617754 0. 0. 5.89617754 
2049 -0.0843903642272 3.59543189568 0.18710220764 0 0 0 5.96550595 0. 0. 5.96550595 
2050 -0.0458197128644 3.54961218282 0.19060522719 0 0 0 6.07719508 0. 0. 6.07719508 
2051 -0.0423499250284 3.50726225779 0.193636592255 0 0 0 6.17384614 0. 0. 6.17384614 
2052 -0.0326598061179 3.47460245167 0.196905199808 0 0 0 6.27806136 0. 0. 6.27806136 
2053 -0.00101304986657 3.4735894018 0.200973093519 0 0 0 6.40776076 0. 0. 6.40776076 
2054 -0.0158357558691 3.45775364593 0.204127052898 0 0 0 6.50832058 0. 0. 6.50832058 
2055 -0.0942153877047 3.36353825823 0.205164580496 0 0 0 6.54140077 0. 0. 6.54140077 
2056 -0.0505368833266 3.3130013749 0.208673425556 0 0 0 6.65327564 0. 0. 6.65327564 
2057 -0.0842206328819 3.22878074202 0.21052645132 0 0 0 6.71235691 0. 0. 6.71235691 
2058 -0.165460204123 3.0633205379 0.21045899467 0 0 0 6.71020615 0. 0. 6.71020615 
2059 -0.126759267296 2.9365612706 0.212757058231 0 0 0 6.78347686 0. 0. 6.78347686 
2060 0.0204730495587 2.95703432016 0.218868842695 0 0 0 6.97834301 0. 0. 6.97834301 
2061 0.122627594524 3.07966191468 0.225831705264 0 0 0 7.20034465 0. 0. 7.20034465 
2062 -0.000319293438451 3.07934262124 0.227604780648 0 0 0 7.25687681 0. 0. 7.25687681 
2063 -0.0405249448357 3.0388176764 0.230012108868 0 0 0 7.33363128 0. 0. 7.33363128 
2064 -0.087830314051 2.95098736235 0.231608196791 0 0 0 7.38452043 0. 0. 7.38452043 
2065 -0.0108505345499 2.9401368278 0.236205368421 0 0 0 7.53109516 0. 0. 7.53109516 
2066 -0.158888266975 2.78124856083 0.235239871853 0 0 0 7.50031158 0. 0. 7.50031158 
2067 -0.0911527626949 2.69009579814 0.238501805622 0 0 0 7.60431401 0. 0. 7.60431401 
2068 -0.050366888831 2.63972890931 0.241970053154 0 0 0 7.71489449 0. 0. 7.71489449 
2069 0.049350850254 2.68907975956 0.247803942564 0 0 0 7.90090032 0. 0. 7.90090032 
2070 0.0859880225135 2.77506778207 0.253243531579 0 0 0  8.07433441  0.  0.  8.07433441 
