Timestamp dT0 sum(dT0) L0 L1N L1S L2 60N(Tg) 15N(Tg) 15S(Tg) 60S(Tg) 
2035 0.2147 0.2147 0.0201 0 0 0 0.6 0. 0. 0.6 
2036 0.43575450455 0.65045450455 0.0205068187466 0 0 0 1.20640114 0. 0. 1.20640114 
2037 0.171636478492 0.822090983042 0.0289077765674 0 0 0 1.70062334 0. 0. 1.70062334 
2038 0.143722300398 0.96581328344 0.0381622578638 0 0 0 2.24505771 0. 0. 2.24505771 
2039 0.383111591972 1.34892487541 0.0517985546916 0 0 0 3.04727107 0. 0. 3.04727107 
2040 0.549746779216 1.89867165463 0.068761214562 0 0 0 4.04517194 0. 0. 4.04517194 
2041 0.402340174449 2.30101182908 0.0778867009169 0 0 0 4.58201762 0. 0. 4.58201762 
2042 0.498089727856 2.79910155694 0.0902999809942 0 0 0 5.31228181 0. 0. 5.31228181 
2043 0.445630737633 3.24473229457 0.100766544225 0 0 0 5.92802207 0. 0. 5.92802207 
2044 0.321965598802 3.56669789337 0.109342621183 0 0 0 6.4325464 0. 0. 6.4325464 
2045 0.507286773076 4.07398466645 0.12271407632 0 0 0 7.21917932 0. 0. 7.21917932 
2046 0.407050397573 4.48103506402 0.12803993958 0 0 0 7.53249596 0. 0. 7.53249596 
2047 0.424631403893 4.90566646791 0.134679330335 0 0 0 7.92308646 0. 0. 7.92308646 
2048 0.401511001272 5.30717746918 0.140699572625 0 0 0 8.27725291 0. 0. 8.27725291 
2049 0.331917392367 5.63909486155 0.145593826967 0 0 0 8.56517831 0. 0. 8.56517831 
2050 0.293728443112 5.93282330466 0.150422265527 0 0 0 8.84923182 0. 0. 8.84923182 
2051 0.221902564001 6.15472586866 0.154227587776 0 0 0 9.07309614 0. 0. 9.07309614 
2052 0.0172723059288 6.17199817459 0.154759387498 0 0 0 9.10438153 0. 0. 9.10438153 
2053 -0.0185853207857 6.1534128538 0.156580622904 0 0 0 9.21152347 0. 0. 9.21152347 
2054 -0.0154301859383 6.13798266786 0.158810937709 0 0 0 9.34273126 0. 0. 9.34273126 
2055 0.177712028109 6.31569469597 0.164758068261 0 0 0 9.6925966 0. 0. 9.6925966 
2056 0.117964263338 6.43365895931 0.167672236028 0 0 0 9.86403496 0. 0. 9.86403496 
2057 0.0268543442501 6.46051330356 0.169398277126 0 0 0 9.96557669 0. 0. 9.96557669 
2058 0.11676722428 6.57728052784 0.17375272074 0 0 0 10.22174543 0. 0. 10.22174543 
2059 0.244630977581 6.82191150542 0.179715766009 0 0 0 10.57254701 0. 0. 10.57254701 
2060 0.050105813173 6.87201731859 0.180664121893 0 0 0 10.6283381 0. 0. 10.6283381 
2061 0.162420981704 7.03443830029 0.185678791148 0 0 0 10.92334742 0. 0. 10.92334742 
2062 -0.0496987027107 6.98473959758 0.185488234939 0 0 0 10.91213714 0. 0. 10.91213714 
2063 0.137368916733 7.12210851431 0.190985057818 0 0 0 11.23551121 0. 0. 11.23551121 
2064 -0.00811231047715 7.11399620383 0.19184441304 0 0 0 11.28606645 0. 0. 11.28606645 
2065 0.144241949714 7.25823815354 0.197071151212 0 0 0 11.59355163 0. 0. 11.59355163 
2066 0.159110476834 7.41734863037 0.201108354754 0 0 0 11.83105736 0. 0. 11.83105736 
2067 -0.0511633360442 7.36618529433 0.200921497015 0 0 0 11.82006465 0. 0. 11.82006465 
2068 -0.0273001553766 7.33888513895 0.20323755181 0 0 0 11.95631646 0. 0. 11.95631646 
2069 0.0114643793 7.35034951825 0.206074230382 0 0 0 12.12319619 0. 0. 12.12319619 
2070 -0.200164135175 7.15018538307 0.204428743135 0 0 0  12.02639338  0.  0.  12.02639338 
