Timestamp dT0 sum(dT0) L0 L1N L1S L2 15N(Tg) 0N(Tg) xxx(Tg) 15S(Tg) 
2035 0.2147 0.2147 0.0201 0 0 0 0. 1.2 0. 0. 
2036 0.416795533483 0.631495533483 0.0434861448863 0 0 0 0. 2.57869899 0. 0. 
2037 0.227214509356 0.858710042839 0.062283084463 0 0 0 0. 3.6933448 0. 0. 
2038 0.248802691257 1.1075127341 0.084274145634 0 0 0 0. 4.99739986 0. 0. 
2039 0.280413125571 1.38792585967 0.109185863316 0 0 0 0. 6.47464788 0. 0. 
2040 0.388854114255 1.77677997393 0.140499560347 0 0 0 0. 8.33152894 0. 0. 
2041 0.41054858507 2.187328559 0.163581226135 0 0 0 0. 9.70025611 0. 0. 
2042 0.262317688622 2.44964624762 0.180094188755 0 0 0 0. 10.67946363 0. 0. 
2043 0.200197694581 2.6498439422 0.197102471361 0 0 0 0. 11.68804329 0. 0. 
2044 0.370409587822 3.02025353002 0.222421734789 0 0 0 0. 13.1894585 0. 0. 
2045 0.340469564008 3.36072309403 0.242990484607 0 0 0 0. 14.40917145 0. 0. 
2046 0.486075285865 3.8467983799 0.261032267874 0 0 0 0. 15.479037 0. 0. 
2047 0.301061977438 4.14786035734 0.268428226548 0 0 0 0. 15.91761235 0. 0. 
2048 0.0738634923518 4.22172384969 0.270262448699 0 0 0 0. 16.02638049 0. 0. 
2049 0.228223105058 4.44994695475 0.283161310348 0 0 0 0. 16.79127426 0. 0. 
2050 0.350262113596 4.80020906835 0.297912511978 0 0 0 0. 17.66601054 0. 0. 
2051 0.178617330737 4.97882639909 0.303056468274 0 0 0 0. 17.97104367 0. 0. 
2052 0.325827881329 5.30465428042 0.317822892515 0 0 0 0. 18.84668265 0. 0. 
2053 0.238473686576 5.543127967 0.325942928792 0 0 0 0. 19.32819531 0. 0. 
2054 0.200478508189 5.74360647519 0.334297584617 0 0 0 0. 19.82362075 0. 0. 
2055 0.235665282971 5.97927175816 0.34488963787 0 0 0 0. 20.45172235 0. 0. 
2056 0.111618078467 6.09088983663 0.349633024222 0 0 0 0. 20.73300195 0. 0. 
2057 0.207155087199 6.29804492383 0.360882451803 0 0 0 0. 21.4000854 0. 0. 
2058 0.235613005094 6.53365792892 0.371334500705 0 0 0 0. 22.01988484 0. 0. 
2059 -0.0400863565606 6.49357157236 0.369814740184 0 0 0 0. 21.92976406 0. 0. 
2060 0.070829939765 6.56440151212 0.378567100936 0 0 0 0. 22.44877314 0. 0. 
2061 0.285616615045 6.85001812717 0.393898504253 0 0 0 0. 23.35791499 0. 0. 
2062 0.323119331445 7.17313745862 0.406343962533 0 0 0 0. 24.09592225 0. 0. 
2063 0.0268316438656 7.19996910249 0.4057807316 0 0 0 0. 24.06252304 0. 0. 
2064 0.165570066486 7.36553916898 0.417063531483 0 0 0 0. 24.73158544 0. 0. 
2065 0.247517472671 7.61305664165 0.428865714058 0 0 0 0. 25.43144689 0. 0. 
2066 0.144624180624 7.75768082227 0.434727296404 0 0 0 0. 25.77903476 0. 0. 
2067 0.0833701503729 7.84105097264 0.440183909223 0 0 0 0. 26.10260821 0. 0. 
2068 0.287610029158 8.1286610018 0.455338718091 0 0 0 0. 27.00127813 0. 0. 
2069 0.179233149984 8.30789415178 0.461801627559 0 0 0 0. 27.38452429 0. 0. 
2070 -0.0645012111724 8.24339294061 0.460437748512 0 0 0  0.  27.30364719  0.  0. 
