Timestamp dT0 sum(dT0) L0 L1N L1S L2 15N(Tg) 0N(Tg) xxx(Tg) 15S(Tg) 
2035 0.2147 0.2147 0.0201 0 0 0 0. 1.2 0. 0. 
2036 0.207718014238 0.422418014238 0.0417594862351 0 0 0 0. 2.4763093 0. 0. 
2037 0.281269989743 0.703688003981 0.0614492560232 0 0 0 0. 3.64389934 0. 0. 
2038 0.159995547204 0.863683551185 0.0801535491652 0 0 0 0. 4.75305127 0. 0. 
2039 0.197632724148 1.06131627533 0.102424000412 0 0 0 0. 6.07367398 0. 0. 
2040 0.340344676197 1.40166095153 0.131753261978 0 0 0 0. 7.81287936 0. 0. 
2041 0.378055348656 1.77971630019 0.154494740372 0 0 0 0. 9.16143365 0. 0. 
2042 -0.0132047843834 1.76651151581 0.160301604619 0 0 0 0. 9.50577678 0. 0. 
2043 0.0328036543063 1.79931517012 0.176086280374 0 0 0 0. 10.44179738 0. 0. 
2044 0.185358262573 1.98467343269 0.197220390649 0 0 0 0. 11.69503583 0. 0. 
2045 0.363362178249 2.34803561094 0.222555027469 0 0 0 0. 13.19736266 0. 0. 
2046 0.505995893824 2.85403150476 0.240946734174 0 0 0 0. 14.28797843 0. 0. 
2047 0.362887921931 3.21691942669 0.250484344834 0 0 0 0. 14.8535523 0. 0. 
2048 0.38943315155 3.60635257824 0.264072698489 0 0 0 0. 15.65933248 0. 0. 
2049 0.429102972228 4.03545555047 0.27875105369 0 0 0 0. 16.52974902 0. 0. 
2050 0.17480593605 4.21026148652 0.282109868207 0 0 0 0. 16.72892445 0. 0. 
2051 0.0580174631867 4.26827894971 0.2858964729 0 0 0 0. 16.95346755 0. 0. 
2052 0.128997270919 4.39727622063 0.295025230431 0 0 0 0. 17.4947967 0. 0. 
2053 0.229774936221 4.62705115685 0.306849870297 0 0 0 0. 18.19598985 0. 0. 
2054 0.12272365092 4.74977480777 0.312173444368 0 0 0 0. 18.51167419 0. 0. 
2055 0.0513722278989 4.80114703567 0.316760950832 0 0 0 0. 18.78371023 0. 0. 
2056 0.228795767429 5.0299428031 0.330147817139 0 0 0 0. 19.57754235 0. 0. 
2057 0.204764558077 5.23470736118 0.338879265662 0 0 0 0. 20.09531134 0. 0. 
2058 0.10116849727 5.33587585845 0.343829145812 0 0 0 0. 20.38883589 0. 0. 
2059 -0.0173178591297 5.31855799932 0.346025311085 0 0 0 0. 20.519067 0. 0. 
2060 -0.0452926571945 5.27326534213 0.349512619932 0 0 0 0. 20.72586206 0. 0. 
2061 0.155132490835 5.42839783296 0.361853517645 0 0 0 0. 21.45766895 0. 0. 
2062 0.193990130535 5.6223879635 0.371660928532 0 0 0 0. 22.03924179 0. 0. 
2063 -0.00501515534546 5.61737280815 0.372448691115 0 0 0 0. 22.08595557 0. 0. 
2064 -0.104088930915 5.51328387723 0.373254162621 0 0 0 0. 22.13371949 0. 0. 
2065 0.13589026711 5.64917414434 0.386014421424 0 0 0 0. 22.89039421 0. 0. 
2066 0.140083067071 5.78925721141 0.393993163171 0 0 0 0. 23.3635282 0. 0. 
2067 0.189423729404 5.97868094081 0.403922729536 0 0 0 0. 23.95234477 0. 0. 
2068 0.0966678087714 6.07534874958 0.40900349498 0 0 0 0. 24.25363073 0. 0. 
2069 0.0398097788358 6.11515852842 0.413651514165 0 0 0 0. 24.52925512 0. 0. 
2070 0.112447929546 6.22760645797 0.422472829853 0 0 0  0.  25.05235318  0.  0. 
