Timestamp dT0 sum(dT0) L0 L1N L1S L2 60N(Tg) 15N(Tg) 15S(Tg) 60S(Tg) 
2035 0.2147 0.2147 0.0201 0 0 0 0.6 0. 0. 0.6 
2036 0.180987787914 0.395687787914 0.0195182011069 0 0 0 1.14824149 0. 0. 1.14824149 
2037 0.155299973882 0.550987761796 0.0277923719059 0 0 0 1.6350049 0. 0. 1.6350049 
2038 0.149187133194 0.70017489499 0.0366478596926 0 0 0 2.15596677 0. 0. 2.15596677 
2039 0.142057247542 0.842232142532 0.0459953166516 0 0 0 2.70587082 0. 0. 2.70587082 
2040 0.16822457694 1.01045671947 0.0564432345251 0 0 0 3.32051419 0. 0. 3.32051419 
2041 0.299446536889 1.30990325636 0.0672735614022 0 0 0 3.95765439 0. 0. 3.95765439 
2042 0.259973103911 1.56987636027 0.0760649974525 0 0 0 4.47484814 0. 0. 4.47484814 
2043 0.228511723556 1.79838808383 0.0846289467716 0 0 0 4.97865901 0. 0. 4.97865901 
2044 0.296558243369 2.0949463272 0.0948183758374 0 0 0 5.57809567 0. 0. 5.57809567 
2045 0.469943708721 2.56489003592 0.107711767501 0 0 0 6.33660447 0. 0. 6.33660447 
2046 0.280805674429 2.84569571035 0.110950451644 0 0 0 6.52713389 0. 0. 6.52713389 
2047 0.230176419947 3.0758721303 0.115041673061 0 0 0 6.76781745 0. 0. 6.76781745 
2048 0.297073461331 3.37294559163 0.120922023047 0 0 0 7.11375414 0. 0. 7.11375414 
2049 0.209699216459 3.58264480809 0.124458120241 0 0 0 7.32178015 0. 0. 7.32178015 
2050 0.190073137977 3.77271794607 0.128461059666 0 0 0 7.55727014 0. 0. 7.55727014 
2051 0.222719601818 3.99543754789 0.133287815764 0 0 0 7.84122467 0. 0. 7.84122467 
2052 0.274898422698 4.27033597059 0.138810256686 0 0 0 8.16610583 0. 0. 8.16610583 
2053 0.217227924534 4.48756389512 0.14270755355 0 0 0 8.39538096 0. 0. 8.39538096 
2054 0.215136742374 4.70270063749 0.147123749755 0 0 0 8.65518255 0. 0. 8.65518255 
2055 0.307610420911 5.0103110584 0.153354445139 0 0 0 9.0217298 0. 0. 9.0217298 
2056 0.24865012035 5.25896117875 0.157544062524 0 0 0 9.26820192 0. 0. 9.26820192 
2057 0.0572479375904 5.31620911634 0.158592002304 0 0 0 9.32985145 0. 0. 9.32985145 
2058 0.266738118566 5.58294723491 0.165561388169 0 0 0 9.73985532 0. 0. 9.73985532 
2059 0.246043167515 5.82899040242 0.170096934963 0 0 0 10.00667822 0. 0. 10.00667822 
2060 -0.112509442873 5.71648095955 0.167876463092 0 0 0 9.87604949 0. 0. 9.87604949 
2061 0.019394369361 5.73587532891 0.171693635331 0 0 0 10.10061094 0. 0. 10.10061094 
2062 0.170801224939 5.90667655385 0.177168839505 0 0 0 10.42271319 0. 0. 10.42271319 
2063 0.213873908938 6.12055046279 0.182010928621 0 0 0 10.70756975 0. 0. 10.70756975 
2064 0.212603190478 6.33315365327 0.186410505807 0 0 0 10.96639366 0. 0. 10.96639366 
2065 -0.136483148034 6.19667050524 0.184049294355 0 0 0 10.82748532 0. 0. 10.82748532 
2066 -0.087990077146 6.10868042809 0.186015523398 0 0 0 10.94315713 0. 0. 10.94315713 
2067 -0.0178838498173 6.09079657827 0.188871540968 0 0 0 11.11117456 0. 0. 11.11117456 
2068 -0.0606164078312 6.03018017044 0.190218329073 0 0 0 11.19040512 0. 0. 11.19040512 
2069 0.134085145664 6.1642653161 0.195757353774 0 0 0 11.51626189 0. 0. 11.51626189 
2070 0.0860157886743 6.25028110477 0.19847487747 0 0 0  11.67613182  0.  0.  11.67613182 
